-87.05,31.14,63899
-86.61,32.85,63891
-87.35,34.66,63868
-86.8,34.2,63867
-87.88,30.55,63869
-85.96,34.29,63857
-88.14,32.84,63892
-87.62,32.72,63893
-86.31,31.92,73802
-87.64,34.77,63894
-87.59,33.21,73801
-87.71,34.45,63895
-86.0,34.69,63896
-87.24,32.46,63858
-86.98,32.33,63897
-86.06,33.57,73803
-87.74,31.88,23802
-86.0,31.79,23801
-85.62,34.57,63862
-91.78,35.82,23904
-112.8,31.95,53168
-111.45,31.69,53006
-109.39,32.01,03085
-111.34,35.5,53159
-111.84,34.61,53160
-111.53,32.99,53162
-110.51,31.59,53132
-112.45,36.86,53183
-112.67,32.96,53176
-110.57,34.4,53170
-109.89,34.82,03077
-110.54,36.68,53169
-113.93,35.26,53180
-114.13,34.25,53172
-114.04,36.09,53184
-111.6,36.86,53164
-112.08,33.35,53156
-109.63,32.86,53181
-111.17,32.24,53131
-109.98,33.82,53019
-112.34,35.76,53155
-114.19,32.84,53154
-123.07,38.32,93245
-117.19,33.44,53151
-120.88,37.24,93243
-122.61,40.65,04222
-119.88,34.41,53152
-117.14,36.6,53139
-119.82,37.76,53150
-103.14,40.16,94092
-105.54,40.04,94075
-106.12,38.81,53005
-106.14,37.71,03084
-105.09,39.09,53007
-108.5,37.26,03061
-107.61,40.95,03099
-108.97,40.24,94082
-102.5,38.54,03078
-106.73,39.48,03098
-103.52,39.79,03093
-108.74,39.1,03076
-103.5,37.22,03091
-103.82,37.86,03063
-108.2,40.08,94094
-107.69,38.54,03060
-104.76,40.81,94074
-108.13,39.76,03096
-103.69,38.04,03089
-106.17,38.1,03079
-102.72,37.38,03086
-102.62,39.66,03083
-105.26,38.91,03088
-81.32,25.9,92826
-81.37,27.15,92827
-80.69,28.62,92821
-81.46,30.81,63856
-84.45,31.19,63829
-84.47,31.31,63828
-83.39,33.78,63850
-93.29,41.56,54902
-113.56,43.46,04126
-116.75,43.2,04127
-88.37,40.05,54808
-88.85,41.84,54811
-86.57,38.89,63898
-96.61,39.1,53974
-100.96,38.87,03067
-86.23,37.25,63849
-84.75,38.09,63838
-91.87,30.09,53960
-92.12,32.88,53961
-67.88,46.96,94645
-68.7,44.93,94644
-86.92,46.33,54810
-84.72,44.91,54854
-95.87,48.31,04994
-92.99,46.11,54932
-93.15,39.87,13301
-94.58,37.43,23908
-91.72,37.63,23909
-89.43,34.82,23803
-89.07,32.34,63831
-113.01,45.16,04137
-110.29,46.88,04140
-113.43,48.74,04130
-105.1,48.31,94060
-105.21,48.49,94059
-82.56,35.42,53878
-82.61,35.49,53877
-79.09,35.97,03758
-99.48,46.77,54937
-103.38,46.89,94080
-102.17,48.97,94084
-103.74,42.42,94077
-96.85,40.7,94996
-96.57,40.85,94995
-101.44,42.07,94079
-70.93,43.17,54794
-70.95,43.11,54795
-104.46,32.85,53002
-107.22,36.75,53017
-105.89,33.65,03082
-103.12,36.47,03094
-103.17,34.51,53008
-103.84,33.81,53022
-107.83,35.12,53003
-108.2,31.89,53025
-104.16,33.09,53015
-106.74,32.61,03074
-105.14,35.66,53024
-106.52,35.86,03062
-104.36,36.06,03095
-106.27,34.52,03097
-107.9,36.03,53173
-105.34,32.51,53026
-108.36,35.05,53009
-103.98,36.78,03092
-108.78,33.71,03080
-106.32,35.82,03087
-107.19,33.98,53163
-106.89,34.36,03048
-105.97,36.65,03090
-104.93,34.14,53016
-114.21,39.01,53138
-119.64,41.85,04139
-116.02,36.62,53136
-76.25,42.44,64758
-73.74,41.79,64756
-81.78,40.37,54851
-101.59,36.6,03055
-101.61,36.57,53182
-97.09,36.12,53926
-97.11,36.13,53927
-124.32,43.27,04141
-123.33,44.42,04236
-119.65,44.56,04125
-119.69,43.47,04128
-75.79,39.86,03761
-71.54,41.49,54796
-71.54,41.48,54797
-81.33,33.36,63826
-79.36,33.15,03728
-99.13,45.71,54933
-103.3,45.52,94081
-100.35,44.02,94085
-96.62,43.73,04990
-85.13,36.01,63855
-98.08,30.62,23907
-100.25,32.04,03072
-98.06,26.53,12987
-102.81,31.62,03047
-102.77,33.96,03054
-95.72,31.78,53968
-103.21,29.35,22016
-96.82,28.3,23906
-112.38,38.27,53185
-109.61,37.27,53012
-109.99,37.6,53004
-112.54,41.62,04138
-113.22,37.46,53013
-112.51,39.39,53165
-112.68,40.64,94097
-109.39,40.92,94098
-109.99,37.25,53014
-111.41,40.55,53167
-113.75,38.59,53171
-109.62,38.14,53010
-110.75,39.61,53174
-111.24,40.28,04143
-109.85,38.31,53023
-111.29,38.3,53149
-111.98,37.52,03081
-109.64,40.13,94096
-75.93,37.29,03739
-78.47,38.0,03759
-121.45,48.54,04223
-123.81,47.51,04237
-117.53,47.42,04136
-90.17,44.06,54903
-79.47,39.01,03733
-108.67,42.68,94078
-110.71,43.66,04131
-104.44,44.52,94088
